Iteration,Fitness,Chromosomes
0,-0.0006277,[1.64, 4.34]
100,-0.7122165,[2.87, 3.53]
200,-0.7122165,[2.87, 3.53]
300,-0.7122165,[2.87, 3.53]
400,-0.7122165,[2.87, 3.53]
500,-0.7122165,[2.87, 3.53]
600,-0.7122165,[2.87, 3.53]
700,-0.7122165,[2.87, 3.53]
800,-0.8948401,[2.87, 3.14]
900,-0.8948401,[2.87, 3.14]
1000,-0.8948401,[2.87, 3.14]
