Iteration,Fitness,Chromosomes
0,13523.5999677,[4.64, 4.29, 5.5, 3.58, -0.53, 1.38, -0.24, -2.5, -0.04, -3.14, 0.56, 2.47, -0.03, 4.27, -2.92, -0.98, -4.02, -5.68, -8.41, 6.4]
100,2.78,[0.01, 0.23, 0.32, 0.09, -0.04, 0.49, -0.24, 0.01, -0.04, -0.08, 0.04, 0.32, -0.03, 0.4, 0.04, 0.08, 0.14, -0.09, 0.02, -0.07]
200,1.59,[0.01, 0.03, 0.32, 0.09, -0.04, 0.49, -0.09, 0.01, -0.04, -0.03, -0.0, 0.11, -0.03, 0.02, 0.01, 0.08, -0.01, -0.09, 0.02, -0.07]
300,1.03,[0.01, 0.03, -0.24, 0.09, -0.04, 0.13, -0.09, 0.01, -0.04, -0.03, -0.0, -0.06, -0.03, 0.02, 0.01, 0.08, -0.01, -0.02, 0.02, -0.07]
