Iteration,Fitness,Chromosomes
0,0.7017359,[0.16, 0.04]
100,0.0025999,[0.0, 0.01]
200,0.0025999,[0.0, 0.01]
300,0.0025999,[0.0, 0.01]
400,0.0025999,[0.0, 0.01]
500,0.0025999,[0.0, 0.01]
600,0.0,[0.0, 0.0]
700,0.0,[0.0, 0.0]
800,0.0,[0.0, 0.0]
900,0.0,[0.0, 0.0]
1000,0.0,[0.0, 0.0]
